Real_Input,Imag_Input,Real_FFT_Output,Imag_FFT_Output
-0.31623,0.94868,-0.33066,0.98057
-0.94868,-0.31623,-1.002,-0.32916
-0.94868,-0.94868,-0.95558,-0.85532
0.94868,0.94868,0.96857,0.96979
-0.94868,-0.31623,-1.0582,-0.2478
0.94868,0.94868,0.91558,0.90175
0.94868,0.94868,0.96082,0.94314
0.31623,-0.31623,0.31807,-0.17412
-0.31623,-0.31623,-0.33613,-0.32733
0.31623,0.94868,0.3673,1.0285
-0.94868,0.31623,-0.95602,0.44336
0.94868,-0.94868,1.0029,-1.0515
0.31623,0.94868,0.34188,0.9391
0.94868,0.94868,0.90457,0.97647
0.94868,0.94868,0.82532,0.98337
-0.31623,-0.31623,-0.24806,-0.27516
-0.31623,-0.31623,-0.341,-0.35509
0.94868,0.94868,0.90097,0.87558
0.94868,-0.31623,0.95374,-0.20506
-0.94868,-0.31623,-0.87008,-0.37428
-0.94868,-0.31623,-0.85849,-0.3312
0.94868,0.31623,0.93951,0.36773
-0.31623,0.94868,-0.32678,0.92724
-0.31623,0.31623,-0.45212,0.35597
0.94868,-0.94868,0.98276,-0.96387
0.31623,0.31623,0.34205,0.30115
0.94868,-0.94868,1.0413,-0.85839
0.31623,0.31623,0.38731,0.47747
-0.94868,-0.94868,-0.88701,-0.9237
-0.31623,-0.94868,-0.4831,-1.0323
0.94868,0.31623,0.91749,0.30064
-0.94868,0.94868,-0.91691,1.087
0.94868,0.94868,1.0082,0.92029
-0.94868,-0.94868,-1.0286,-0.92335
-0.94868,-0.31623,-0.99141,-0.32684
-0.31623,-0.94868,-0.28535,-0.94516
0.31623,-0.94868,0.33301,-0.92222
0.31623,0.94868,0.29786,0.95256
-0.31623,-0.94868,-0.31197,-0.98885
-0.31623,-0.94868,-0.3085,-1.0215
0.31623,-0.31623,0.33218,-0.1799
0.31623,-0.94868,0.40324,-0.89167
-0.31623,-0.31623,-0.23831,-0.31291
0.31623,0.31623,0.45415,0.38592
-0.31623,-0.94868,-0.28098,-0.98034
-0.94868,0.31623,-0.91332,0.40977
0.31623,-0.94868,0.20713,-0.88494
0.31623,0.31623,0.32223,0.18375
0.31623,-0.31623,0.3467,-0.27442
0.31623,0.31623,0.47598,0.34164
-0.94868,0.94868,-0.93313,0.96916
0.31623,0.31623,0.19863,0.37387
-0.31623,0.31623,-0.2448,0.34552
0.31623,-0.94868,0.43235,-0.90525
-0.94868,0.94868,-1.0395,0.81794
-0.94868,-0.94868,-0.99333,-0.89576
0.31623,0.31623,0.30832,0.41675
0.94868,-0.31623,0.97493,-0.32952
0.94868,0.31623,0.98406,0.29408
0.94868,0.31623,0.95409,0.27779
-0.31623,-0.94868,-0.21146,-1.0832
-0.94868,0.94868,-0.97935,0.87914
-0.94868,-0.94868,-0.93783,-1.0425
0.94868,0.31623,0.95277,0.29927
0.31623,0.31623,0.37285,0.2541
-0.31623,-0.94868,-0.36698,-1.0346
-0.31623,0.31623,-0.37258,0.39943
-0.31623,-0.31623,-0.35354,-0.35489
-0.94868,-0.94868,-0.87833,-1.0374
-0.31623,-0.31623,-0.29513,-0.37504
0.31623,0.94868,0.19112,1.1369
0.94868,-0.31623,1.0269,-0.1922
-0.94868,-0.94868,-0.88232,-1.0054
0.31623,-0.94868,0.36296,-1.0091
0.31623,-0.31623,0.32661,-0.3866
-0.94868,0.94868,-0.95052,0.99161
